防御率2.10,試合53,先発0,救援53,連投(試)0,連投(日)0,勝利1,敗戦3,HLD8,Ｓ31,ＨＰ9,ＳＰ32,救勝1,救敗3,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.250,51.1,211,755,14.7,49,1,40,13,2,0,0,0,15,12,1.21,-
