打率.231,試合108,打席377,打数338,得点25,安打78,内安10,内安率12.8,２Ｂ17,３Ｂ0,本塁12,HR勝敗8-3-1,塁打131,打点37,三振63
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
33,4,2,0,4,3,1,75.0,4,0,8,.212,.300,.388,.687
