アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,75,28.6%,安打,78,67.8%
フライ,124,47.3%,四死球,35,30.4%
空三振,51,19.5%,失策出塁,2,1.7%
見三振,12,4.6%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
