左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
49.1% (134),49.1% (134),49.1% (134),22.3% (61),22.3% (61),22.3% (61),28.6% (78),28.6% (78),28.6% (78)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
54.5% (36),83.3% (10),45.1% (88),31.8% (21),16.7% (2),19.5% (38),13.6% (9),0.0% (0),35.4% (69)
