球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,583,40.0%,146.8,43,94,116,208,43.4%,15.3%,.200,150,30,3,29,18,2
スライダー,243,16.7%,129.9,36,42,36,91,46.9%,32.7%,.205,44,9,1,7,3,0
チェンジアップ,145,10.0%,130.3,20,18,18,58,38.6%,29.0%,.382,34,13,1,4,1,0
カットボール,144,9.9%,137.5,17,25,24,51,45.8%,25.0%,.250,32,8,2,5,2,0
ツーシーム,106,7.3%,138.8,15,19,17,29,48.1%,25.9%,.323,31,10,2,5,2,0
フォーク,93,6.4%,136.4,15,8,16,41,41.9%,34.1%,.091,22,2,1,10,0,0
カーブ,40,2.7%,118.0,3,9,5,19,42.5%,25.0%,.750,4,3,0,0,1,0
スプリット,37,2.5%,136.8,7,2,4,19,35.1%,43.8%,.000,7,0,0,2,1,0
ナックルカーブ,25,1.7%,126.8,4,5,2,12,44.0%,50.0%,.333,3,1,1,1,0,0
シュート,21,1.4%,145.5,0,3,5,7,38.1%,0.0%,.000,6,0,0,0,1,0
シンカー,8,0.5%,132.3,2,0,2,3,50.0%,40.0%,.000,1,0,0,0,0,0
パーム,5,0.3%,113.5,0,0,0,2,0.0%,0.0%,.333,3,1,1,0,0,0
パワーカーブ,3,0.2%,123.3,0,1,0,1,33.3%,0.0%,1.000,1,1,0,0,0,0
スクリュー,3,0.2%,137.0,1,1,0,1,66.7%,100.0%,-,0,0,0,0,0,0
スラーブ,1,0.1%,108.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
