NOI428.9,GPA.232,RC39.26,RC273.88,XR40.40,XR274.00,RCAA3.43,XR+4.37,RCWIN0.40,XRWIN0.52,BABIP.247
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.52,0.069,11.42,5.98,0.157,28.17,0.260,0.625,4.80,28.6%,
