球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,187,41.6%,147.9,12,19,49,64,42.8%,11.5%,.216,51,11,2,9,7,0
チェンジアップ,47,10.5%,134.3,8,7,3,20,38.3%,40.0%,.000,10,0,0,2,1,0
スライダー,46,10.2%,129.3,4,10,7,23,45.7%,30.8%,.200,5,1,0,3,1,0
カットボール,46,10.2%,140.2,1,9,13,17,50.0%,5.0%,.143,7,1,0,1,4,0
フォーク,38,8.5%,136.5,9,2,7,17,47.4%,47.4%,.000,6,0,0,3,0,0
カーブ,26,5.8%,119.7,0,15,3,7,69.2%,0.0%,.000,1,0,0,0,0,0
スプリット,18,4.0%,140.4,5,2,2,4,50.0%,41.7%,.200,5,1,0,0,0,0
ツーシーム,17,3.8%,143.8,0,2,4,9,35.3%,0.0%,1.000,2,2,0,0,0,0
シンカー,13,2.9%,135.5,3,2,2,3,53.8%,37.5%,.250,4,1,0,1,0,0
ナックルカーブ,4,0.9%,126.5,0,1,0,3,25.0%,-%,-,0,0,0,0,0,0
シュート,4,0.9%,139.7,0,0,0,3,0.0%,0.0%,.000,1,0,0,0,0,0
縦スライダー,2,0.4%,130.5,0,0,0,2,0.0%,-%,-,0,0,0,0,1,0
パワーカーブ,1,0.2%,127.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
