NOI383.0,GPA.200,RC8.25,RC272.86,XR8.75,XR273.03,RCAA-2.38,XR+-2.01,RCWIN-0.28,XRWIN-0.23,BABIP.211
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.74,0.108,7.71,5.68,0.087,46.00,0.261,0.539,2.00,32.4%,
