条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,0.167,64,54,9,1,0,1,1,12,10,0,0,0,0.297
1塁,0.25,22,20,5,0,0,0,0,3,1,0,1,0,0.286
2塁,0.2,6,5,1,1,0,0,1,1,1,0,0,0,0.333
3塁,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0.0
1・2塁,0.167,8,6,1,0,0,0,1,2,1,0,1,0,0.286
1・3塁,0.5,2,2,1,0,0,1,3,0,0,0,0,0,0.5
2・3塁,0.0,2,2,0,0,0,0,0,1,0,0,0,0,0.0
満塁,0.0,2,1,0,0,0,0,1,0,1,0,0,0,0.5
得点圏,0.167,22,18,3,1,0,1,6,4,3,0,1,0,0.286
