打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,19,5,0.263,1,4,3,0,0,0.364
2打席目,21,3,0.143,0,4,0,1,0,0.143
3打席目,20,3,0.15,0,5,2,0,0,0.227
4打席目,13,2,0.154,1,3,6,1,0,0.421
5打席目以上,4,0,0.0,0,1,0,0,0,0.0
