HQS率13.3%,SQS率13.3%,被打率.266,被BABIP.344,被出塁率.319,被長打率.353,K/BB4.00,K/99.07,BB/92.27,HR/90.59,GO/AO1.22,援護率3.08,IPR20.00,NHB%21.4%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.40,78.3%,0.94,0.11,2.85,354,2.0,79,27,20.0,1,3,13,
