条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.4,15,15,6,1,0,0,6,0,0,0,0
対左打者,0.3,15,10,3,1,1,0,1,4,1,0,0
