HQS率-,SQS率-,被打率.207,被BABIP.245,被出塁率.314,被長打率.224,K/BB1.10,K/95.94,BB/95.40,HR/90.00,GO/AO0.52,援護率-,IPR8.33,NHB%17.6%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.07,90.9%,4.05,0.48,4.50,90,1.0,0,0,16.2,2,3,15,
