球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,122,41.8%,139.9,4,36,21,39,50.0%,8.5%,.179,28,5,0,8,6,0
スライダー,112,38.4%,124.1,7,13,18,53,33.9%,15.2%,.238,21,5,0,1,3,0
ツーシーム,36,12.3%,135.7,3,8,4,16,41.7%,25.0%,.167,6,1,0,2,0,0
スクリュー,17,5.8%,127.5,1,1,3,10,29.4%,16.7%,.000,2,0,0,0,0,0
カットボール,3,1.0%,130.3,1,1,0,1,66.7%,100.0%,-,0,0,0,0,0,0
カーブ,2,0.7%,-,0,0,0,1,0.0%,0.0%,1.000,1,1,0,0,0,0
