打率.194,試合39,打席110,打数98,得点7,安打19,内安2,内安率10.5,２Ｂ3,３Ｂ0,本塁0,HR勝敗0,塁打22,打点3,三振31
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
3,0,4,5,0,1,0,100.0,0,0,1,.105,.248,.224,.472
