連続項目,フラグ (現状値 / 最高値)
安打,1打席 / 3打席
本塁打,0打席 / 0打席
無安打,0打席 / 14打席
三振,0打席 / 4打席
無三振,2打席 / 11打席
出塁,1打席 / 3打席
