アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,9,30.0%,安打,4,66.7%
フライ,7,23.3%,四死球,2,33.3%
空三振,9,30.0%,失策出塁,0,0.0%
見三振,3,10.0%,野選,0,0.0%
犠打,2,6.7%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
