NOI218.1,GPA.111,RC0.08,RC270.07,XR0.27,XR270.24,RCAA-3.34,XR+-3.17,RCWIN-0.39,XRWIN-0.37,BABIP.200
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.17,0.051,18.00,3.00,0.000,-,0.125,0.276,0.00,38.9%,
