HQS率50.0%,SQS率53.8%,被打率.248,被BABIP.276,被出塁率.294,被長打率.366,K/BB2.43,K/95.36,BB/92.21,HR/90.68,GO/AO0.98,援護率3.27,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.27,74.9%,-1.80,-0.21,-3.42,604,0.0,176,64,0.0,0,0,0,
