防御率3.15,試合26,先発26,救援0,連投(試)0,連投(日)0,勝利9,敗戦12,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投6,完封3,無四球3
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.429,171.1,705,2629,15.3,158,13,102,42,3,1,5,0,64,60,1.17,69.2%
