打率.173,試合90,打席193,打数173,得点18,安打30,内安4,内安率13.3,２Ｂ7,３Ｂ2,本塁2,HR勝敗2-0-0,塁打47,打点12,三振54
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
16,1,1,1,2,11,0,100.0,3,0,0,.146,.245,.272,.516
