球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,307,40.0%,148.2,27,57,68,104,49.5%,18.5%,.153,72,11,2,21,6,0
スライダー,103,13.4%,129.8,15,20,11,38,44.7%,33.3%,.154,26,4,0,8,1,0
フォーク,68,8.9%,136.1,19,13,7,19,57.4%,52.8%,.150,20,3,0,10,1,1
カットボール,60,7.8%,138.2,7,9,13,16,48.3%,20.0%,.333,18,6,0,3,1,0
スプリット,58,7.6%,139.2,15,8,10,21,56.9%,51.7%,.000,10,0,0,6,2,0
チェンジアップ,48,6.3%,132.4,9,7,3,21,39.6%,45.0%,.200,10,2,0,2,1,0
カーブ,42,5.5%,118.0,1,10,8,21,45.2%,9.1%,.500,2,1,0,0,0,0
ツーシーム,33,4.3%,145.1,3,4,7,11,42.4%,16.7%,.429,7,3,0,1,1,0
シュート,16,2.1%,139.4,1,3,3,8,43.8%,20.0%,.000,1,0,0,0,1,0
シンカー,15,2.0%,132.4,1,1,2,10,26.7%,25.0%,.000,2,0,0,1,1,0
ナックルカーブ,8,1.0%,123.6,0,2,0,4,25.0%,0.0%,.000,2,0,0,0,0,0
スローカーブ,4,0.5%,91.8,0,3,0,0,75.0%,0.0%,.000,1,0,0,0,0,0
パワーカーブ,4,0.5%,124.0,1,1,0,2,50.0%,100.0%,.000,2,0,0,2,0,0
縦スライダー,1,0.1%,137.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
