条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.18,168,150,27,4,0,3,33,12,3,2,1
対左投手,0.292,56,48,14,4,0,1,9,6,1,1,0
