NOI387.8,GPA.205,RC18.94,RC273.16,XR19.60,XR273.27,RCAA-3.11,XR+-2.71,RCWIN-0.36,XRWIN-0.31,BABIP.242
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.43,0.078,12.44,5.33,0.101,49.50,0.207,0.544,3.43,28.6%,
