アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,16,30.2%,安打,19,73.1%
フライ,17,32.1%,四死球,7,26.9%
空三振,15,28.3%,失策出塁,0,0.0%
見三振,5,9.4%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
