打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,14,6,0.429,0,3,3,0,0,0.529
2打席目,15,5,0.333,1,4,2,0,0,0.412
3打席目,15,3,0.2,1,4,0,0,0,0.2
4打席目,6,0,0.0,0,4,0,0,0,0.0
5打席目以上,1,0,0.0,0,0,0,0,0,0.0
