条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
無し,0.275,162,153,42,5,1,3,26,7,2,0,0,0.315
1塁,0.24,54,50,12,3,0,1,10,1,0,3,0,0.255
2塁,0.364,26,22,8,3,1,0,2,3,1,0,0,0.462
3塁,0.222,10,9,2,1,0,0,3,1,0,0,0,0.3
1・2塁,0.125,9,8,1,0,0,0,2,0,0,1,0,0.125
1・3塁,0.333,7,6,2,0,1,0,0,1,0,0,0,0.429
2・3塁,0.0,5,5,0,0,0,0,1,0,0,0,0,0.0
満塁,0.0,1,1,0,0,0,0,0,0,0,0,0,0.0
得点圏,0.255,58,51,13,4,2,0,8,5,1,1,0,0.333
