HQS率-,SQS率-,被打率.186,被BABIP.245,被出塁率.277,被長打率.281,K/BB2.91,K/99.65,BB/93.32,HR/90.60,GO/AO1.12,援護率-,IPR4.26,NHB%41.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.72,86.1%,8.17,0.95,7.15,389,9.2,0,0,59.2,14,26,55,
