条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.138,137,123,17,2,1,3,45,9,4,1,0
対左打者,0.253,103,87,22,2,1,1,19,13,1,1,1
