HQS率-,SQS率-,被打率.300,被BABIP.338,被出塁率.391,被長打率.475,K/BB1.30,K/95.95,BB/94.58,HR/90.92,GO/AO1.21,援護率-,IPR1.40,NHB%25.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.41,66.3%,-6.69,-0.77,-7.36,119,6.1,0,0,19.2,14,5,14,
