HQS率23.8%,SQS率33.3%,被打率.266,被BABIP.318,被出塁率.332,被長打率.431,K/BB2.48,K/98.01,BB/93.23,HR/91.01,GO/AO1.12,援護率2.63,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.50,72.3%,-18.48,-2.18,-22.86,441,0.0,137,40,0.0,0,0,0,
