NOI360.8,GPA.187,RC4.43,RC272.06,XR4.75,XR272.21,RCAA-2.89,XR+-2.61,RCWIN-0.34,XRWIN-0.31,BABIP.277
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.40,0.083,9.63,3.85,0.045,-,0.182,0.455,0.00,36.4%,
