アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,18,32.7%,安打,13,59.1%
フライ,16,29.1%,四死球,8,36.4%
空三振,17,30.9%,失策出塁,1,4.5%
見三振,3,5.5%,野選,0,0.0%
犠打,1,1.8%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
