NOI370.5,GPA.191,RC30.18,RC272.49,XR30.71,XR272.54,RCAA-12.94,XR+-12.91,RCWIN-1.50,XRWIN-1.49,BABIP.283
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.42,0.055,15.64,6.54,0.010,-,0.119,0.454,0.00,21.7%,
