球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,800,47.9%,147.1,22,190,157,269,46.1%,6.5%,.263,167,44,0,23,19,2
スライダー,179,10.7%,128.9,14,37,36,54,48.6%,15.9%,.292,48,14,0,11,0,0
カットボール,144,8.6%,136.4,5,34,26,44,45.1%,7.6%,.132,38,5,0,5,2,0
フォーク,134,8.0%,136.1,20,21,25,38,49.3%,26.7%,.125,40,5,0,10,0,0
チェンジアップ,123,7.4%,129.1,14,19,16,45,39.8%,23.7%,.212,33,7,0,5,4,0
カーブ,91,5.4%,118.6,1,41,10,32,57.1%,5.6%,.273,11,3,0,4,0,0
ツーシーム,79,4.7%,143.9,3,15,19,26,46.8%,7.9%,.235,17,4,0,2,3,0
スプリット,38,2.3%,138.5,4,6,12,6,57.9%,15.4%,.308,13,4,0,3,0,0
ナックルカーブ,26,1.6%,128.0,3,6,2,9,42.3%,27.3%,.111,9,1,0,3,0,0
シンカー,22,1.3%,134.8,1,3,5,9,40.9%,10.0%,.750,4,3,0,0,0,0
シュート,12,0.7%,138.2,1,5,2,2,66.7%,20.0%,.000,2,0,0,0,0,0
パワーカーブ,11,0.7%,121.6,0,2,3,6,45.5%,0.0%,-,0,0,0,0,0,0
縦スライダー,8,0.5%,131.8,1,1,0,5,25.0%,50.0%,.000,2,0,0,1,0,0
スクリュー,2,0.1%,131.0,1,0,0,0,50.0%,50.0%,.000,1,0,0,0,0,0
ワンシーム,1,0.1%,141.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
