NOI102.6,GPA.054,RC-0.65,RC27-1.26,XR-0.55,XR27-1.06,RCAA-2.08,XR+-1.98,RCWIN-0.24,XRWIN-0.23,BABIP.143
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.50,0.000,-,0.000,0.083,-,40.0%,
