NOI394.9,GPA.207,RC11.14,RC272.47,XR11.07,XR272.45,RCAA-4.16,XR+-4.32,RCWIN-0.49,XRWIN-0.51,BABIP.327
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.29,0.050,16.10,4.74,0.043,-,0.092,0.429,0.00,27.3%,
