条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.25,116,104,26,3,1,0,27,7,0,5,0
対左投手,0.243,45,37,9,1,0,0,7,3,0,5,0
