左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
30.9% (25),30.9% (25),30.9% (25),19.8% (16),19.8% (16),19.8% (16),49.4% (40),49.4% (40),49.4% (40)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
33.3% (6),0.0% (0),30.6% (19),27.8% (5),0.0% (0),17.7% (11),38.9% (7),100.0% (1),51.6% (32)
