球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
楽天モバイル,.211,39,77,71,14,15,4,1,2,27,7,23,4,0,0,1,1,6,0,2,.250,.380,0.63
みずほPayPay,.091,6,12,11,0,1,1,0,0,2,0,4,1,0,0,0,0,0,0,0,.167,.182,0.348
エスコンＦ,.111,4,9,9,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,.111,.111,0.222
ZOZOマリン,.000,10,22,18,1,0,0,0,0,0,1,9,4,0,0,0,0,1,0,0,.182,.000,0.182
京セラD大阪,.269,11,33,26,2,7,0,1,0,9,3,4,6,1,0,0,1,1,0,0,.394,.346,0.74
ベルーナドーム,.071,6,14,14,0,1,0,0,0,1,0,5,0,0,0,0,0,1,0,1,.071,.071,0.143
Pa その他,.143,6,8,7,1,1,1,0,0,2,0,1,0,0,1,0,0,1,0,0,.250,.286,0.536
東京ドーム,.400,4,11,10,0,4,1,0,0,5,0,2,1,0,0,0,0,1,0,0,.455,.500,0.955
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,.000,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
神宮,.000,3,6,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,0.0
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
