条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.214,150,131,28,7,0,4,32,13,1,3,2
対左打者,0.238,131,122,29,6,2,3,18,5,1,1,2
