打率.256,試合116,打席445,打数414,得点33,安打106,内安12,内安率11.3,２Ｂ16,３Ｂ0,本塁5,HR勝敗4-0-0,塁打137,打点33,三振67
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
19,2,7,3,2,0,0,-,4,4,8,.226,.299,.331,.630
