NOI408.9,GPA.217,RC39.81,RC273.35,XR39.52,XR273.32,RCAA-4.00,XR+-4.80,RCWIN-0.46,XRWIN-0.55,BABIP.294
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.28,0.043,23.42,6.64,0.075,82.80,0.121,0.516,0.00,20.4%,
