打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Home,0.29,44,108,100,13,29,3,0,3,41,11,7,3,1,3,0,2,1,0,1,0.324,0.41,0.734
Visitor,0.197,33,83,76,6,15,2,0,1,20,7,10,6,0,0,0,1,0,1,2,0.253,0.263,0.516
