条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.243,122,111,27,2,0,3,12,6,2,0,3
対左投手,0.262,69,65,17,3,0,1,5,3,1,0,0
