打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,35,11,0.314,2,2,5,0,0,0.4
2打席目,38,12,0.316,1,2,2,0,0,0.35
3打席目,37,8,0.216,0,3,2,0,0,0.256
4打席目,22,6,0.273,0,3,1,0,2,0.28
5打席目以上,7,1,0.143,1,2,0,0,0,0.143
