条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,2,0,0,2,0,1,0,0,0,0,0,0,5
敗戦,0,1,1,5,2,4,0,0,0,0,0,0,13
勝敗無,3,1,1,2,0,1,0,0,0,0,0,0,8
