左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
25.0% (3),25.0% (3),25.0% (3),25.0% (3),25.0% (3),25.0% (3),50.0% (6),50.0% (6),50.0% (6)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
0.0% (0),- (0),30.0% (3),50.0% (1),- (0),20.0% (2),50.0% (1),- (0),50.0% (5)
