NOI218.1,GPA.111,RC-0.09,RC27-0.17,XR0.05,XR270.09,RCAA-1.76,XR+-1.65,RCWIN-0.20,XRWIN-0.19,BABIP.167
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.25,0.051,17.00,4.25,0.000,-,0.063,0.214,-,29.4%,
