NOI490.3,GPA.256,RC16.53,RC275.58,XR15.96,XR275.39,RCAA5.22,XR+4.59,RCWIN0.61,XRWIN0.54,BABIP.408
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.45,0.078,9.15,4.10,0.057,-,0.295,0.785,0.00,35.3%,
