種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,3.24,7,0,7,0,0,1,0,1,0,0,0,8.1,7,0,4,2,0,3,3,1.08,0.226,-,2.78
Nighter,1.89,18,0,18,0,0,5,0,5,0,0,0,19.0,13,3,12,3,0,4,4,0.84,0.197,-,4.75
