HQS率-,SQS率-,被打率.206,被BABIP.215,被出塁率.243,被長打率.361,K/BB3.20,K/95.27,BB/91.65,HR/90.99,GO/AO1.61,援護率-,IPR3.90,NHB%44.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.54,86.5%,3.16,0.37,2.23,142,6.2,0,0,27.1,7,11,20,
