条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
無し,0.192,55,52,10,3,0,1,8,3,0,0,0,0.236
1塁,0.357,17,14,5,1,0,1,2,2,0,1,0,0.438
2塁,0.0,8,7,0,0,0,0,1,0,0,1,0,0.0
3塁,0.0,1,1,0,0,0,0,0,0,0,0,0,0.0
1・2塁,0.083,12,12,1,0,0,1,3,0,0,0,0,0.083
1・3塁,1.0,4,3,3,1,0,0,0,0,0,0,1,0.75
2・3塁,0.167,6,6,1,1,0,0,2,0,0,0,0,0.167
満塁,0.0,2,2,0,0,0,0,0,0,0,0,0,0.0
得点圏,0.161,33,31,5,2,0,1,6,0,0,1,1,0.156
