球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
カットボール,131,33.6%,142.6,15,19,32,41,50.4%,21.1%,.194,31,6,1,8,1,0
ストレート,98,25.1%,149.0,7,7,26,32,40.8%,11.9%,.214,28,6,1,2,3,0
ツーシーム,94,24.1%,147.3,11,9,22,26,44.7%,18.6%,.185,27,5,1,3,1,0
フォーク,49,12.6%,134.0,4,4,18,17,53.1%,14.3%,.333,9,3,0,3,0,0
スライダー,14,3.6%,128.5,0,4,0,8,28.6%,0.0%,.000,2,0,0,0,0,0
カーブ,4,1.0%,118.3,0,2,0,2,50.0%,-%,-,0,0,0,0,0,0
