NOI381.0,GPA.200,RC0.54,RC272.90,XR0.53,XR272.84,RCAA-0.13,XR+-0.14,RCWIN-0.02,XRWIN-0.02,BABIP.500
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.33,0.000,-,0.000,0.400,-,42.9%,
