球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,21,23.9%,141.9,0,2,9,6,52.4%,0.0%,.250,4,1,1,0,0,0
フォーク,15,17.0%,130.3,1,4,0,8,33.3%,33.3%,.000,2,0,0,0,1,0
ツーシーム,13,14.8%,136.5,3,1,2,3,46.2%,33.3%,.400,5,2,0,1,0,0
スライダー,12,13.6%,126.8,2,3,0,6,41.7%,66.7%,.000,2,0,0,1,1,0
カットボール,10,11.4%,134.6,2,1,1,3,40.0%,33.3%,.000,3,0,0,0,1,0
チェンジアップ,9,10.2%,125.9,2,0,0,7,22.2%,100.0%,-,0,0,0,0,0,0
カーブ,3,3.4%,108.3,0,0,0,2,0.0%,0.0%,.000,1,0,0,0,0,0
シュート,3,3.4%,145.0,0,1,0,2,33.3%,-%,-,0,0,0,0,0,0
スプリット,1,1.1%,136.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
ワンシーム,1,1.1%,144.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
