NOI500.0,GPA.275,RC4.84,RC277.26,XR4.50,XR276.74,RCAA2.27,XR+1.92,RCWIN0.27,XRWIN0.23,BABIP.444
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.13,0.026,27.00,3.38,0.192,-,0.346,0.944,0.00,33.3%,
