球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,815,41.9%,147.0,53,143,167,296,44.5%,14.1%,.304,191,58,5,37,13,1
スライダー,301,15.5%,128.3,49,51,55,106,51.5%,34.0%,.175,57,10,1,17,3,2
フォーク,169,8.7%,135.8,37,10,28,60,44.4%,37.4%,.235,51,12,1,17,1,0
カットボール,162,8.3%,137.4,18,24,33,50,46.3%,20.5%,.225,40,9,3,4,6,1
カーブ,160,8.2%,115.8,18,44,12,74,46.3%,42.9%,.333,18,6,0,6,1,1
チェンジアップ,145,7.5%,130.0,29,13,30,43,49.7%,32.6%,.184,38,7,1,8,2,0
ツーシーム,65,3.3%,142.5,3,6,17,25,40.0%,8.8%,.231,13,3,0,0,1,1
スプリット,38,2.0%,137.9,8,2,8,6,47.4%,26.7%,.235,17,4,1,4,0,0
シュート,32,1.6%,145.7,1,9,5,9,46.9%,7.1%,.364,11,4,0,3,0,0
シンカー,24,1.2%,130.8,3,2,3,8,33.3%,21.4%,.556,9,5,1,1,0,0
ナックルカーブ,21,1.1%,127.0,1,4,3,11,38.1%,16.7%,.000,2,0,0,0,0,0
縦スライダー,8,0.4%,132.3,4,1,1,1,75.0%,66.7%,.000,4,0,0,3,0,0
ナックル,2,0.1%,127.5,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
スローカーブ,1,0.1%,92.0,1,0,0,0,100.0%,100.0%,-,0,0,0,0,0,0
スクリュー,1,0.1%,134.0,1,0,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
