NOI455.4,GPA.248,RC60.93,RC274.77,XR60.34,XR274.72,RCAA14.07,XR+13.24,RCWIN1.66,XRWIN1.56,BABIP.306
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.30,0.051,16.43,4.88,0.168,34.77,0.232,0.674,0.00,29.2%,
