条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.267,213,191,51,6,1,5,30,14,1,4,3
対左投手,0.204,61,54,11,0,0,0,14,4,0,3,0
