打率.253,試合79,打席274,打数245,得点29,安打62,内安7,内安率11.3,２Ｂ6,３Ｂ1,本塁5,HR勝敗5-0-0,塁打85,打点21,三振44
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
18,0,1,7,3,2,4,33.3,2,4,4,.200,.303,.347,.650
