左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
40.9% (81),40.9% (81),40.9% (81),16.2% (32),16.2% (32),16.2% (32),42.9% (85),42.9% (85),42.9% (85)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
43.9% (25),0.0% (0),41.2% (56),24.6% (14),0.0% (0),13.2% (18),31.6% (18),100.0% (5),45.6% (62)
