アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,65,34.4%,安打,62,72.1%
フライ,73,38.6%,四死球,19,22.1%
空三振,39,20.6%,失策出塁,4,4.7%
見三振,5,2.6%,野選,1,1.2%
犠打,7,3.7%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
