打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,60,13,0.217,0,10,4,4,2,0.258
2打席目,61,15,0.246,2,13,6,1,1,0.309
3打席目,60,14,0.233,1,6,5,1,0,0.292
4打席目,43,13,0.302,1,11,2,1,0,0.333
5打席目以上,10,2,0.2,0,3,2,0,0,0.333
